Country,Capital City,Latitude,Longitude,Population,Capital Type
Kyrgyzstan,Кызыл-Кия,40.2611,72.1306,51300,Capital
Kazakhstan,Жаркент,44.1667,80,42617,Capital
Kyrgyzstan,Балыкчи,42.4611,76.1803,42380,Capital
Kyrgyzstan,Талас,42.5167,72.2333,40308,Capital
Kazakhstan,Есик,43.35,77.4667,36715,Capital
Kazakhstan,Чу,43.5983,73.7614,35000,Capital
Kyrgyzstan,Нарын,41.4333,76,34822,Capital
Kazakhstan,Узынагач,43.2297,76.31,30589,Capital
China,Учтурфан,41.2136,79.2319,27836,Capital
Kyrgyzstan,Токтогуль,41.8722,72.9389,20577,Capital
Kyrgyzstan,Майли Суу,41.2457,72.448,20200,Capital
Kazakhstan,Чунджа,43.5417,79.4703,17263,Capital
Kyrgyzstan,Кара Кулжа,40.6333,73.5925,15616,Capital
Kazakhstan,Байсерке,43.4797,77.0336,15124,Capital
Kyrgyzstan,Боконбаев,42.11,76.99,14267,Capital
Kyrgyzstan,Кербаен,41.5,71.75,14141,Capital
Kyrgyzstan,Гульча,40.3167,73.4333,13755,Capital
Kyrgyzstan,Кызыл-Адыр,42.62,71.59,13612,Capital
Kyrgyzstan,Тюп,42.73,78.36,12355,Capital
Kyrgyzstan,Кёк-Джангак,41.0333,73.2,12117,Capital
China,Акчи,40.9365,78.4023,11910,Capital
Kyrgyzstan,Чолпон-ата,42.65,77.0833,11520,Capital
Kyrgyzstan,Кочкор,42.2158,75.7556,11373,Capital
Kyrgyzstan,Арстанбап,41.3333,72.9333,11291,Capital
Kyrgyzstan,Казарман,41.4,74.05,11191,Capital
Kyrgyzstan,Баетов,41.21,74.9,10682,Capital
Kyrgyzstan,Кемин,42.7861,75.6917,10354,Capital
Kyrgyzstan,Каинды,42.83,73.68,9561,Capital
Kyrgyzstan,Ананьево,42.73,77.66,9470,Capital
Kazakhstan,Кегень,43.0197,79.2203,9049,Capital
Kyrgyzstan,Саруу,42.3222,77.9222,8501,Capital
Kazakhstan,Отар,43.5375,75.2089,4540,Capital
Kazakhstan,Бурубайтал,44.935,74.018,336,Capital
